Draw Date,Winning Numbers,Mega Ball,Multiplier,Number1,Number2,Number3,Number4,Number5
2020-07-28,17 20 27 31 34,19,4.0,17,20,27,31,34
2020-07-24,08 33 39 54 58,17,3.0,8,33,39,54,58
2020-07-21,14 25 26 41 43,15,3.0,14,25,26,41,43
2020-07-17,12 13 21 46 57,21,3.0,12,13,21,46,57
2020-07-14,06 26 55 56 64,22,4.0,6,26,55,56,64
2020-07-10,10 15 20 49 53,22,5.0,10,15,20,49,53
2020-07-07,16 20 25 30 43,18,3.0,16,20,25,30,43
2020-07-03,20 40 44 45 50,24,2.0,20,40,44,45,50
2020-06-30,09 16 29 37 53,11,2.0,9,16,29,37,53
2020-06-26,19 33 37 56 57,6,2.0,19,33,37,56,57
2020-06-23,06 20 37 40 48,15,3.0,6,20,37,40,48
2020-06-19,11 34 36 52 66,7,2.0,11,34,36,52,66
2020-06-16,21 23 33 35 42,6,3.0,21,23,33,35,42
2020-06-12,09 14 57 67 70,2,3.0,9,14,57,67,70
2020-06-09,01 05 09 10 23,22,2.0,1,5,9,10,23
2020-06-05,32 35 37 47 55,22,3.0,32,35,37,47,55
2020-06-02,09 20 23 26 29,8,3.0,9,20,23,26,29
2020-05-29,10 13 32 41 51,3,2.0,10,13,32,41,51
2020-05-26,34 52 58 59 62,4,3.0,34,52,58,59,62
2020-05-22,08 10 20 44 46,18,4.0,8,10,20,44,46
2020-05-19,08 19 25 36 66,9,2.0,8,19,25,36,66
2020-05-15,11 17 32 33 46,25,3.0,11,17,32,33,46
2020-05-12,07 16 27 44 52,5,5.0,7,16,27,44,52
2020-05-08,05 20 22 61 70,4,2.0,5,20,22,61,70
2020-05-05,07 13 17 21 45,14,2.0,7,13,17,21,45
2020-05-01,28 30 31 35 66,14,2.0,28,30,31,35,66
